Year,Month,Dom_Pax,Int_Pax,Pax,Dom_Flt,Int_Flt,Flt,Dom_RPM,Int_RPM,RPM,Dom_ASM,Int_ASM,ASM,Dom_LF,Int_LF,LF
2021,7,66739409,7033399,73772808,664437,52663,717100,64545073,13494801,78039874,73407768,19144100,92551868,87.93,70.49,84.32
2021,8,60630994,6357070,66988064,662000,50664,712664,58416638,13314028,71730666,71871421,19302668,91174089,81.28,68.98,78.67
2021,9,53902837,4843245,58746082,610284,43758,654042,50123961,10421281,60545242,66268767,17668823,83937590,75.64,58.98,72.13
2021,10,60546348,5360481,65906829,630240,47139,677379,55934187,10985232,66919419,69064940,18107013,87171954,80.99,60.67,76.77
2021,11,59779045,5998703,65777748,617806,50706,668512,55742346,12199554,67941900,68469320,17676220,86145540,81.41,69.02,78.87
2021,12,59534619,7093846,66628465,605976,59710,665686,57091558,14779224,71870782,69447090,20677611,90124701,82.21,71.47,79.75
2022,1,45814139,6048973,51863112,569018,59036,628054,43954958,12498379,56453337,64319112,20881798,85200910,68.34,59.85,66.26
2022,2,49075979,5725939,54801918,533962,52667,586629,46520073,11512744,58032817,60647305,18500799,79148105,76.71,62.23,73.32
2022,3,64617029,7872874,72489903,629670,62309,691979,61674886,16212974,77887859,71989974,22030861,94020835,85.67,73.59,82.84
2022,4,63518318,8398121,71916439,616135,63462,679597,60270759,18529341,78800100,68700144,23743871,92444015,87.73,78.04,85.24
2022,5,66961805,8815732,75777537,644024,65674,709698,62706846,20788694,83495540,70974153,26263661,97237814,88.35,79.15,85.87
2022,6,67368670,10023468,77392138,640218,67900,708118,63343854,24276114,87619968,70415408,27883747,98299154,89.96,87.06,89.14
2022,7,69432042,10943155,80375197,667889,71229,739118,65633746,26440533,92074279,74959377,29660776,104620153,87.56,89.14,88.01
2022,8,66520067,10115929,76635996,657576,68544,726120,62934639,24979841,87914480,73836109,29246437,103082546,85.24,85.41,85.29
2022,9,63139630,8287331,71426961,622299,57089,679388,58463970,21860088,80324058,68920247,26063870,94984116,84.83,83.87,84.57
2022,10,67935181,8414518,76349699,639282,57765,697047,62656863,21457977,84114840,72264313,25834667,98098981,86.71,83.06,85.74
2022,11,63680032,8216914,71896946,605075,59745,664820,59194297,19692450,78886747,70250775,24616723,94867498,84.26,80.00,83.15
2022,12,62482296,9405384,71887680,596437,67511,663948,59724506,22595815,82320321,71301260,27343999,98645259,83.76,82.64,83.45
2023,1,58284200,9066833,67351033,605944,66859,672803,55627743,21021245,76648988,72122699,26809510,98932209,77.13,78.41,77.48
2023,2,56729998,8066893,64796891,567702,60643,628345,53329402,18254936,71584338,67037368,24211736,91249104,79.55,75.40,78.45
2023,3,69708556,10094584,79803140,655836,71076,726912,65767207,23802743,89569950,78074142,28689319,106763461,84.24,82.97,83.90
2023,4,67571574,10008645,77580219,636160,70078,706238,63426143,24708597,88134739,74335449,29988666,104324115,85.32,82.39,84.48
2023,5,71423653,10358666,81782319,667331,71924,739255,66743565,26805432,93548998,77821407,31950687,109772094,85.77,83.90,85.22
2023,6,72482621,11544505,84027126,661293,75279,736572,68789127,29883465,98672591,78058358,33410671,111469028,88.13,89.44,88.52
2023,7,75378157,12432615,87810772,684939,79738,764677,72267904,31376000,103643904,81986010,35326191,117312202,88.15,88.82,88.35
2023,8,71477988,11572149,83050137,691482,77137,768619,67933484,29938507,97871992,81997399,34908793,116906192,82.85,85.76,83.72
2023,9,66858490,9392985,76251475,649308,64241,713549,61777546,26076318,87853864,75748336,31231710,106980046,81.56,83.49,82.12
